(Reais Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código da Conta,Descrição da Conta,12/31/2009,3/31/2010,6/30/2010,9/30/2010,12/31/2010,3/31/2011,6/30/2011,9/30/2011,12/31/2011,3/31/2012,6/30/2012,9/30/2012,12/31/2012,3/31/2013,6/30/2013,9/30/2013,12/31/2013,3/31/2014,6/30/2014,9/30/2014,12/31/2014,3/31/2015,6/30/2015,9/30/2015,12/31/2015,3/31/2016,6/30/2016,9/30/2016,12/31/2016,3/31/2017,6/30/2017,9/30/2017,12/31/2017,3/31/2018,6/30/2018,9/30/2018,12/31/2018,3/31/2019,6/30/2019,9/30/2019,12/31/2019,3/31/2020,6/30/2020,9/30/2020
2.02.01.01.02,Em Moeda Estrangeira,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,"  2,121,217 ","  1,928,603 ","  1,701,879 ","  1,655,369 ","  1,521,321 ","  1,485,413 ","  1,455,050 ","  1,294,827 ","  1,584,526 ","  2,053,326 ","  1,736,755 ","  1,719,115 ","  1,407,730 ","  1,202,560 ","  1,163,873 ","  1,277,499 ","  1,240,669 ","  1,503,451 ","  1,579,415 ","  1,610,968 "
2.02.02,Outras Obrigações,"  78,205 ","  75,488 ","  88,453 ","  92,250 ","  86,875 ","  89,435 ","  86,317 ","  129,275 ","  122,485 ","  137,777 ","  142,261 ","  124,966 ","  137,916 ","  123,063 ","  113,323 ","  115,300 ","  104,286 ","  98,307 ","  106,603 ","  107,150 ","  107,463 ","  120,411 ","  140,573 ","  168,922 ","  159,632 ","  181,225 ","  192,160 ","  172,968 ","  157,147 ","  166,424 ","  137,988 ","  169,024 ","  150,390 ","  213,193 ","  156,633 ","  164,923 ","  155,394 ","  312,422 ","  295,441 ","  310,979 ","  291,310 ","  308,047 ","  401,884 ","  398,914 "
2.02.02.01,Passivos com Partes Relacionadas,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  926 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
2.02.02.02,Outros,"  78,205 ","  75,488 ","  88,453 ","  92,250 ","  86,875 ","  89,435 ","  86,317 ","  129,275 ","  122,485 ","  137,777 ","  142,261 ","  124,040 ","  137,916 ","  123,063 ","  113,323 ","  115,300 ","  104,286 ","  98,307 ","  106,603 ","  107,150 ","  107,463 ","  120,411 ","  140,573 ","  168,922 ","  159,632 ","  181,225 ","  192,160 ","  172,968 ","  157,147 ","  166,424 ","  137,988 ","  169,024 ","  150,390 ","  213,193 ","  156,633 ","  164,923 ","  155,394 ","  312,422 ","  295,441 ","  310,979 ","  291,310 ","  308,047 ","  401,884 ","  398,914 "
2.02.02.02.03,Obrigações Tributárias,"  54,500 ","  59,077 ","  63,449 ","  67,816 ","  58,765 ","  65,784 ","  60,235 ","  64,737 ","  58,326 ","  61,117 ","  63,599 ","  44,576 ","  47,328 ","  48,835 ","  50,147 ","  52,051 ","  30,199 ","  30,333 ","  30,415 ","  30,735 ","  9,011 ","  8,883 ","  8,709 ","  8,601 ",  783 ,  785 ,  758 ,  731 ,  -   ,  882 ,  874 ,  854 ,  -   ,"  4,683 ","  4,286 ","  3,919 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
2.02.02.02.04,Instrumentos Financeiros Derivativos,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,"  9,255 ",  -   ,  -   ,  -   ,"  12,147 ","  11,149 ","  15,591 ","  12,809 ","  16,248 ","  38,736 ","  68,368 ","  64,191 ","  51,854 ","  62,811 ","  43,761 ","  60,473 ","  40,795 ","  66,294 ","  9,014 ","  8,588 ","  8,124 ","  7,812 ","  7,614 ","  7,556 ","  6,679 ","  7,549 ","  10,468 ","  7,583 "
2.02.02.02.05,Arrendamento Mercantil,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,"  132,472 ","  153,613 ","  180,744 ","  153,667 ","  183,084 ","  258,316 ","  247,157 "
2.02.02.02.06,Outros,"  23,705 ","  16,411 ","  25,004 ","  24,434 ","  28,110 ","  23,651 ","  26,082 ","  28,373 ","  64,159 ","  76,660 ","  78,662 ","  79,464 ","  90,588 ","  74,228 ","  63,176 ","  63,249 ","  64,832 ","  67,974 ","  76,188 ","  76,415 ","  86,305 ","  100,379 ","  116,273 ","  147,512 ","  142,601 ","  141,704 ","  123,034 ","  108,046 ","  105,293 ","  102,731 ","  93,353 ","  107,697 ","  109,595 ","  142,216 ","  143,333 ","  152,416 ","  147,270 ","  172,138 ","  134,214 ","  122,679 ","  130,964 ","  117,414 ","  133,100 ","  144,174 "
2.02.02.02.07,Adiantamento de Clientes,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,"  36,165 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
2.02.03,Tributos Diferidos,"  402,932 ","  402,003 ","  413,449 ","  417,304 ","  415,318 ","  415,682 ","  411,203 ","  411,545 ","  421,918 ","  424,223 ","  331,370 ","  322,296 ","  320,503 ","  319,621 ","  310,429 ","  295,173 ","  294,405 ","  292,073 ","  290,117 ","  278,955 ","  282,989 ","  275,698 ","  298,680 ","  230,914 ","  242,696 ","  224,250 ","  202,377 ","  184,930 ","  159,203 ","  162,548 ","  150,370 ","  137,024 ","  116,629 ","  124,149 ","  97,613 ","  81,139 ","  86,537 ","  86,538 ","  76,751 ","  71,038 ","  75,143 ","  87,611 ","  82,661 ","  77,660 "
2.02.03.01,Imposto de Renda e Contribuição Social Diferidos,"  402,932 ","  402,003 ","  413,449 ","  417,304 ","  415,318 ","  415,682 ","  411,203 ","  411,545 ","  421,918 ","  424,223 ","  331,370 ","  322,296 ","  320,503 ","  319,621 ","  310,429 ","  295,173 ","  294,405 ","  292,073 ","  290,117 ","  278,955 ","  282,989 ","  275,698 ","  298,680 ","  230,914 ","  242,696 ","  224,250 ","  202,377 ","  184,930 ","  159,203 ","  162,548 ","  150,370 ","  137,024 ","  116,629 ","  124,149 ","  97,613 ","  81,139 ","  86,537 ","  86,538 ","  76,751 ","  71,038 ","  75,143 ","  87,611 ","  82,661 ","  77,660 "
2.02.04,Provisões,"  99,434 ","  101,565 ","  109,556 ","  113,283 ","  126,384 ","  125,316 ","  128,277 ","  134,803 ","  145,616 ","  152,587 ","  166,515 ","  173,064 ","  206,613 ","  207,673 ","  234,916 ","  248,077 ","  235,334 ","  239,765 ","  243,064 ","  244,837 ","  258,849 ","  272,155 ","  292,461 ","  329,513 ","  339,968 ","  352,590 ","  375,933 ","  404,672 ","  434,402 ","  460,170 ","  488,129 ","  502,963 ","  506,961 ","  528,181 ","  541,641 ","  558,336 ","  547,637 ","  555,005 ","  542,200 ","  560,133 ","  551,578 ","  543,337 ","  548,882 ","  573,992 "
2.03,Patrimônio Líquido Consolidado,"  3,327,286 ","  3,287,409 ","  3,403,136 ","  3,443,434 ","  3,543,836 ","  3,528,495 ","  3,607,207 ","  3,710,060 ","  3,906,589 ","  3,759,326 ","  3,913,668 ","  4,004,055 ","  4,151,626 ","  4,115,486 ","  4,322,080 ","  4,410,290 ","  4,642,267 ","  4,569,523 ","  4,707,739 ","  4,877,092 ","  5,139,263 ","  5,398,030 ","  5,539,679 ","  5,989,948 ","  6,156,060 ","  6,007,038 ","  5,805,533 ","  5,963,354 ","  6,042,908 ","  6,104,252 ","  6,464,564 ","  6,513,271 ","  6,838,462 ","  6,963,269 ","  7,545,784 ","  7,772,119 ","  7,853,257 ","  7,923,152 ","  8,168,446 ","  8,490,281 ","  8,929,990 ","  9,883,247 ","  10,628,679 ","  11,400,035 "
2.03.01,Capital Social Realizado,"  1,812,294 ","  1,812,294 ","  1,812,294 ","  1,812,294 ","  1,812,294 ","  1,812,294 ","  2,265,367 ","  2,265,367 ","  2,265,367 ","  2,265,367 ","  2,718,440 ","  2,718,440 ","  2,718,440 ","  2,718,440 ","  2,718,440 ","  2,718,440 ","  2,718,440 ","  2,718,440 ","  3,533,973 ","  3,533,973 ","  3,533,973 ","  3,533,973 ","  3,533,973 ","  3,533,973 ","  3,533,973 ","  3,533,973 ","  3,533,973 ","  3,533,973 ","  3,533,973 ","  3,533,973 ","  3,533,973 ","  3,533,973 ","  3,533,973 ","  3,533,973 ","  5,504,517 ","  5,504,517 ","  5,504,517 ","  5,504,517 ","  5,504,517 ","  5,504,517 ","  5,504,517 ","  5,504,517 ","  5,504,517 ","  5,504,517 "
2.03.02,Reservas de Capital,"  44,931 ","  44,931 ","  44,931 ","  44,931 ","  44,931 ","  44,931 ",  -   ,  -   ,  239 ,"- 50,776 ","- 51,319 ","- 51,189 ","- 53,319 ","- 58,330 ","- 58,137 ","- 57,919 ","- 57,724 ","- 60,203 ","- 59,852 ","- 59,472 ","- 67,557 ","- 58,876 ","- 58,054 ","- 57,672 ","- 74,113 ","- 71,174 ","- 69,823 ","- 68,504 ","- 68,092 ","- 77,585 ","- 75,703 ","- 72,763 ","- 91,997 ","- 90,520 ","- 92,780 ","- 89,914 ","- 87,102 ","- 106,151 ","- 103,110 ","- 103,207 ","- 103,868 ","- 122,450 ","- 128,411 ","- 132,724 "
2.03.02.01,Ágio na Emissão de Ações,"  44,931 ","  44,931 ","  44,931 ","  44,931 ","  44,931 ","  44,931 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
2.03.02.04,Opções Outorgadas,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  239 ,  331 ,  469 ,  599 ,  758 ,  916 ,"  1,004 ","  1,129 ","  1,325 ","  1,545 ","  1,573 ","  1,615 ","  1,817 ","  2,049 ","  1,869 ","  1,903 ","  2,474 ","  1,352 ","  1,474 ","  1,627 ","  1,971 ","  2,640 ","  3,286 ","  3,711 ","  4,437 ","  5,409 ","  6,647 ","  7,876 ","  9,615 ","  8,857 ","  10,057 ","  11,367 ","  12,857 ","  6,429 ","  8,547 ","  9,487 "
2.03.02.05,Ações em Tesouraria,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,"- 8,418 ",,,,"- 17,069 ","- 13,673 ","- 12,744 ","- 11,968 ","- 11,924 ","- 20,200 ","- 19,315 ","- 17,796 ","- 17,392 ","- 16,902 ","- 16,083 ","- 15,261 ","- 15,261 ","- 13,411 ","- 12,499 ","- 11,684 ","- 11,419 ","- 16,997 ","- 16,470 ","- 15,779 "
2.03.02.07,Ágio na Transação de Capital,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,"- 51,107 ","- 51,788 ","- 51,788 ","- 54,077 ","- 59,246 ","- 59,141 ","- 59,048 ","- 59,049 ","- 61,748 ","- 61,425 ","- 61,087 ","- 60,956 ","- 60,925 ","- 59,923 ","- 59,575 ","- 59,518 ","- 58,853 ","- 58,553 ","- 58,163 ","- 58,139 ","- 60,025 ","- 59,674 ","- 58,678 ","- 79,042 ","- 79,027 ","- 83,344 ","- 82,529 ","- 81,456 ","- 101,597 ","- 100,668 ","- 102,890 ","- 105,306 ","- 111,882 ","- 120,488 ","- 126,432 "
2.03.03,Reservas de Reavaliação,"  3,935 ","  3,919 ","  3,902 ","  3,897 ","  3,884 ","  3,871 ","  3,859 ","  3,848 ","  3,834 ","  3,784 ","  3,809 ","  3,796 ","  3,784 ","  3,748 ","  3,736 ","  3,724 ","  3,712 ","  3,700 ","  3,687 ","  3,673 ","  3,658 ","  3,684 ","  3,599 ","  3,630 ","  3,630 ","  3,630 ","  3,630 ","  3,630 ","  3,630 ","  3,630 ","  3,630 ","  3,630 ","  3,630 ","  3,630 ","  3,630 ","  3,630 ","  3,630 ","  3,630 ","  3,630 ","  3,630 ","  3,630 ","  3,630 ","  3,630 ","  3,630 "
2.03.04,Reservas de Lucros,"  660,797 ","  533,512 ","  533,512 ","  533,512 ","  900,676 ","  799,468 ","  441,449 ","  381,270 ","  857,721 ","  684,007 ","  292,975 ","  230,934 ","  687,792 ","  559,989 ","  560,271 ","  560,508 ","  1,169,077 ","  1,005,903 ","  316,237 ","  191,326 ","  846,159 ","  670,277 ","  803,844 ","  661,433 ","  1,430,422 ","  1,299,868 ","  1,358,433 ","  1,299,868 ","  1,799,912 ","  1,890,881 ","  1,976,370 ","  1,890,881 ","  2,401,891 ","  2,463,155 ","  471,680 ","  298,892 ","  1,133,122 ","  959,255 ","  1,146,143 ","  959,255 ","  2,059,144 ","  1,707,252 ","  1,887,750 ","  1,707,252 "
2.03.04.01,Reserva Legal,"  27,420 ","  27,420 ","  27,420 ","  27,420 ","  53,409 ","  53,409 ",  -   ,  -   ,"  29,347 ","  29,347 ",  -   ,  -   ,"  32,799 ","  32,799 ","  32,799 ","  32,799 ","  74,972 ","  74,972 ",  -   ,  -   ,"  47,736 ","  47,736 ","  47,736 ","  47,736 ","  105,539 ","  105,539 ","  105,539 ","  105,539 ","  161,420 ","  161,420 ","  161,420 ","  161,420 ","  218,528 ","  218,528 ",  -   ,  -   ,"  66,916 ","  66,916 ","  66,916 ","  66,916 ","  147,645 ","  147,645 ","  147,645 ","  147,645 "
2.03.04.02,Reserva Estatutária,"  506,092 ","  506,092 ","  506,092 ","  506,092 ","  746,059 ","  746,059 ","  391,325 ","  391,325 ","  664,715 ","  664,715 ","  240,989 ","  240,989 ","  537,245 ","  537,245 ","  537,245 ","  537,245 ","  940,453 ","  940,453 ","  199,892 ","  199,892 ","  630,929 ","  630,929 ","  630,929 ","  630,929 ","  1,194,329 ","  1,194,329 ","  1,194,329 ","  1,194,329 ","  1,535,742 ","  1,729,461 ","  1,729,461 ","  1,729,461 ","  2,050,908 ","  2,244,627 ","  298,892 ","  298,892 ","  892,339 ","  892,339 ","  892,339 ","  892,339 ","  1,559,607 ","  1,559,607 ","  1,559,607 ","  1,559,607 "
2.03.04.08,Dividendo Adicional Proposto,"  127,285 ",  -   ,  -   ,  -   ,"  101,208 ",  -   ,"  60,179 ",  -   ,"  173,714 ",  -   ,"  62,041 ",  -   ,"  127,803 ",  -   ,  -   ,  -   ,"  163,174 ",  -   ,"  125,334 ",  -   ,"  167,494 ",  -   ,"  133,904 ",  -   ,"  130,554 ",  -   ,"  58,565 ",  -   ,"  102,750 ",  -   ,"  85,489 ",  -   ,"  132,455 ",  -   ,"  172,788 ",  -   ,"  173,867 ",  -   ,"  186,888 ",  -   ,"  351,892 ",  -   ,"  180,498 ",  -   
2.03.04.09,Ações em Tesouraria,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,"- 10,055 ","- 10,055 ","- 10,055 ","- 10,055 ","- 10,055 ","- 10,055 ","- 10,055 ","- 10,055 ","- 9,773 ","- 9,536 ","- 9,522 ","- 9,522 ","- 8,989 ","- 8,566 ",  -   ,"- 8,388 ","- 8,725 ","- 17,232 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
2.03.05,Lucros/Prejuízos Acumulados,  -   ,"  101,506 ","  194,239 ","  248,545 ",  -   ,"  92,115 ","  152,000 ","  271,261 ",  -   ,"  113,612 ","  155,819 ","  304,689 ",  -   ,"  144,291 ","  315,789 ","  410,210 ",  -   ,"  163,475 ","  219,724 ","  432,210 ",  -   ,"  196,778 ","  257,869 ","  462,329 ",  -   ,"  207,793 ","  313,128 ","  485,747 ",  -   ,"  159,480 ","  256,001 ","  485,378 ",  -   ,"  205,329 ","  291,602 ","  595,844 ",  -   ,"  216,350 ","  335,588 ","  672,860 ",  -   ,"  380,236 ","  554,580 ","  1,135,154 "
2.03.06,Ajustes de Avaliação Patrimonial,"  809,667 ","  762,559 ","  733,586 ","  714,264 ","  758,715 ","  746,552 ","  732,871 ","  717,097 ","  704,466 ","  691,708 ","  680,031 ","  668,487 ","  656,646 ","  644,546 ","  619,650 ","  606,931 ","  593,500 ","  583,100 ","  572,896 ","  561,278 ","  548,750 ","  530,407 ","  517,560 ","  491,234 ","  493,106 ","  479,190 ","  462,999 ","  453,480 ","  442,032 ","  434,933 ","  427,776 ","  416,630 ","  406,240 ","  401,062 ","  396,677 ","  391,704 ","  380,781 ","  373,594 ","  368,933 ","  365,080 ","  359,298 ","  355,339 ","  354,264 ","  350,404 "
2.03.06.01,Custo Atribuído,"  809,667 ","  762,559 ","  733,586 ","  714,264 ","  758,715 ","  746,552 ","  732,871 ","  717,097 ","  704,466 ","  691,708 ","  680,031 ","  668,487 ","  656,646 ","  644,546 ","  619,650 ","  606,931 ","  593,500 ","  583,100 ","  572,896 ","  561,278 ","  548,750 ","  530,407 ","  517,560 ","  491,234 ","  493,106 ","  479,190 ","  462,999 ","  453,480 ","  442,032 ","  434,933 ","  427,776 ","  416,630 ","  406,240 ","  401,062 ","  396,677 ","  391,704 ","  380,781 ","  373,594 ","  368,933 ","  365,080 ","  359,298 ","  355,339 ","  354,264 ","  350,404 "
2.03.08,Outros Resultados Abrangentes,"- 31,885 ",  -   ,  -   ,  -   ,"- 65,893 ","- 64,223 ","- 82,439 ","- 27,492 ","- 31,515 ","- 29,133 ","  29,728 ","  42,814 ","  47,006 ","  21,871 ","  80,818 ","  85,818 ","  130,767 ","  77,149 ","  45,208 ","  130,732 ","  191,402 ","  426,418 ","  369,400 ","  766,621 ","  642,362 ","  430,307 ","  94,132 ","  143,776 ","  223,495 ","  50,907 ","  225,999 ","  142,977 ","  462,344 ","  315,808 ","  830,240 ","  922,781 ","  779,326 ","  826,577 ","  762,199 ","  925,849 ","  894,526 ","  1,813,586 ","  2,185,978 ","  2,554,237 "
2.03.08.01,Instrumentos Financeiros Derivativos,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,"  5,774 ","- 12,235 ","- 28,119 ","- 29,002 ","- 26,948 ","- 26,746 ","- 16,029 ","- 16,757 ","- 11,355 ","- 47,782 ","- 37,450 ","- 17,145 ","- 18,657 ","- 9,828 ","- 4,570 ","- 14,122 ","- 11,180 ","  13,832 ","  4,004 ","  11,299 "
2.03.08.02,Variação Participação Societária,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,"- 6,070 ","- 4,288 ","- 4,288 ","- 4,288 "
2.03.08.03,Ajustes Acumulados de Conversão,"- 31,885 ",  -   ,  -   ,  -   ,"- 65,893 ","- 64,223 ","- 82,439 ","- 27,492 ","- 31,515 ","- 29,133 ","  29,728 ","  42,814 ","  47,006 ","  21,871 ","  80,818 ","  85,818 ","  130,767 ","  77,149 ","  45,208 ","  130,732 ","  191,402 ","  426,418 ","  369,400 ","  766,621 ","  636,588 ","  442,542 ","  122,251 ","  172,778 ","  250,443 ","  77,653 ","  242,028 ","  159,734 ","  473,699 ","  363,590 ","  867,690 ","  939,926 ","  797,983 ","  836,405 ","  766,769 ","  939,971 ","  911,776 ","  1,804,042 ","  2,186,262 ","  2,547,226 "
2.03.09,Participação dos Acionistas Não Controladores,"  27,547 ","  28,688 ","  80,672 ","  85,991 ","  89,229 ","  93,487 ","  94,100 ","  98,709 ","  106,477 ","  80,757 ","  84,185 ","  86,084 ","  91,277 ","  80,931 ","  81,513 ","  82,578 ","  84,495 ","  77,959 ","  75,866 ","  83,372 ","  82,878 ","  95,369 ","  111,488 ","  128,400 ","  126,680 ","  123,451 ","  109,061 ","  111,384 ","  107,958 ","  108,033 ","  116,518 ","  112,565 ","  122,381 ","  130,832 ","  140,218 ","  144,665 ","  138,983 ","  145,380 ","  150,546 ","  162,297 ","  212,743 ","  241,137 ","  266,371 ","  277,565 "
