(Reais Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código da Conta,Descrição da Conta,12/31/2009,3/31/2010,6/30/2010,9/30/2010,12/31/2010,3/31/2011,6/30/2011,9/30/2011,12/31/2011,3/31/2012,6/30/2012,9/30/2012,12/31/2012,3/31/2013,6/30/2013,9/30/2013,12/31/2013,3/31/2014,6/30/2014,9/30/2014,12/31/2014,3/31/2015,6/30/2015,9/30/2015,12/31/2015,3/31/2016,6/30/2016,9/30/2016,12/31/2016,3/31/2017,6/30/2017,9/30/2017,12/31/2017,3/31/2018,6/30/2018,9/30/2018,12/31/2018,3/31/2019,6/30/2019,9/30/2019,12/31/2019,3/31/2020,6/30/2020,9/30/2020
1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,"  101,739 ","  89,481 ","  97,859 ","  91,613 ","  78,810 ","  86,060 ","  89,776 ","  103,846 ","  111,488 ","  115,265 ","  35,441 ","  32,190 ","  36,891 ","  43,337 ","  40,762 ","  56,970 ","  60,376 ","  68,870 ","  58,767 ","  59,208 ","  55,864 ","  68,602 ","  77,962 ","  108,749 ","  131,327 ","  128,315 ","  122,810 ","  127,848 ","  130,291 ","  134,327 ","  145,110 ","  147,137 ","  148,284 ","  166,032 ","  174,450 ","  164,913 ","  142,669 ","  150,460 ","  148,729 ","  161,581 ","  182,042 ","  188,520 ","  255,098 ","  292,342 "
1.02.01.08,Créditos com Partes Relacionadas,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,"  2,909 ",  797 ,  -   ,  490 ,  143 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
1.02.01.08.04,Créditos com Outras Partes Relacionadas,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  797 ,  -   ,  490 ,  143 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
1.02.01.09,Outros Ativos Não Circulantes,"  92,075 ","  81,036 ","  65,554 ","  58,279 ","  58,174 ","  41,086 ","  39,672 ","  40,678 ","  40,346 ","  43,396 ","  45,679 ","  47,144 ","  49,910 ","  62,132 ","  55,952 ","  59,836 ","  61,766 ","  63,359 ","  64,025 ","  67,130 ","  104,733 ","  85,511 ","  237,545 ","  460,386 ","  487,665 ","  390,716 ","  241,807 ","  308,335 ","  267,092 ","  227,179 ","  293,836 ","  263,258 ","  295,560 ","  292,464 ","  617,375 ","  595,522 ","  473,475 ","  400,760 ","  383,534 ","  442,927 ","  415,755 ","  736,590 ","  801,327 ","  814,910 "
1.02.01.09.03,Depósitos Judiciais,"  30,739 ","  31,063 ","  20,276 ","  20,855 ","  21,697 ","  21,723 ","  22,696 ","  23,826 ","  24,038 ","  24,490 ","  26,142 ","  27,153 ","  27,844 ","  28,229 ","  30,812 ","  32,549 ","  35,260 ","  35,873 ","  40,622 ","  43,932 ","  44,394 ","  51,129 ","  54,828 ","  55,298 ","  55,810 ","  48,781 ","  49,679 ","  49,515 ","  48,476 ","  48,769 ","  49,781 ","  50,990 ","  50,815 ","  54,114 ","  54,746 ","  55,683 ","  58,368 ","  60,688 ","  70,549 ","  65,712 ","  68,506 ","  68,593 ","  68,858 ","  68,158 "
1.02.01.09.04,Tributos a Recuperar,"  44,499 ","  39,682 ","  34,879 ","  32,639 ","  31,661 ","  14,122 ","  12,511 ","  12,298 ","  12,902 ","  12,994 ","  13,657 ","  14,256 ","  16,032 ","  16,527 ","  17,091 ","  17,394 ","  16,793 ","  16,431 ","  17,671 ","  18,937 ","  19,221 ","  17,770 ","  18,017 ","  17,264 ","  16,640 ","  15,076 ","  13,057 ","  11,567 ","  10,296 ","  8,639 ","  8,608 ","  8,342 ","  9,941 ","  10,168 ","  102,339 ","  160,958 ","  167,689 ","  138,849 ","  95,013 ","  86,735 ","  78,708 ","  77,380 ","  83,974 ","  51,371 "
1.02.01.09.05,Instrumentos Financeiros Derivativos,,,,,,,,,,,,,,,,,  506 ,,,,"  34,974 ",  -   ,"  128,735 ","  314,253 ","  371,208 ","  262,053 ","  147,492 ","  169,614 ","  169,221 ","  132,714 ","  187,245 ","  142,210 ","  170,279 ","  157,707 ","  381,026 ","  282,583 ","  166,922 ","  117,850 ","  127,653 ","  191,355 ","  167,069 ","  477,067 ","  536,204 ","  575,966 "
1.02.01.09.06,Outros,"  16,837 ","  10,291 ","  10,399 ","  4,785 ","  4,816 ","  5,241 ","  4,465 ","  4,554 ","  3,406 ","  5,912 ","  5,880 ","  5,735 ","  6,034 ","  17,376 ","  8,049 ","  9,893 ","  9,207 ","  11,055 ","  5,732 ","  4,261 ","  6,144 ","  16,612 ","  35,965 ","  73,571 ","  44,007 ","  64,806 ","  31,579 ","  77,639 ","  39,099 ","  37,057 ","  48,202 ","  61,716 ","  64,525 ","  70,475 ","  79,264 ","  96,298 ","  80,496 ","  83,373 ","  90,319 ","  99,125 ","  101,472 ","  113,550 ","  112,291 ","  119,415 "
1.02.02,Investimentos,"  16,041 ","  16,861 ",  776 ,  222 ,  601 ,"  2,199 ",  931 ,  933 ,  349 ,  349 ,  349 ,  349 ,"  7,622 ","  7,577 ","  7,585 ","  7,584 ","  7,264 ","  8,091 ","  8,223 ","  8,222 ","  8,224 ","  8,222 ","  1,379 ","  1,463 ","  1,379 ","  1,395 ",  238 ,  224 ,  223 ,  220 ,  225 ,  306 ,  268 ,"  16,923 ","  17,013 ","  18,478 ","  20,362 ","  20,380 ","  19,974 ","  19,644 ","  28,012 ","  35,408 ","  35,405 ","  45,670 "
1.02.02.01,Participações Societárias,"  16,041 ","  16,861 ",  776 ,  222 ,  601 ,"  2,199 ",  931 ,  933 ,  349 ,  349 ,  349 ,  349 ,  402 ,  357 ,  365 ,  364 ,  44 ,  871 ,"  1,003 ","  1,002 ","  1,004 ","  1,002 ","  1,379 ","  1,463 ","  1,379 ","  1,395 ",  238 ,  224 ,  223 ,  220 ,  225 ,  306 ,  268 ,"  16,923 ","  17,013 ","  18,478 ","  20,362 ","  20,380 ","  19,974 ","  19,644 ","  28,012 ","  35,408 ","  35,405 ","  45,670 "
